trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_11_vs_Student_0,sw_Ablated_11_vs_Student_1,sw_Student_0_vs_Student_1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
131,1,300.0,330.0,False,1016439.0963685485,1017332.1405124916,3372.1631888722304,222174.368623012,1016885.61844052,446.52207197155803
132,1,330.0,0.0,False,435008.6083686903,436803.32999199687,3049.723367239494,112995.49934378441,435905.96918034356,897.360811653285
133,1,330.0,30.0,False,423556.9885892975,425562.3856862149,3446.174012111677,101477.88378490893,424559.6871377562,1002.6985484586912
134,1,330.0,60.0,False,414561.3356295078,416076.33612191887,3570.216758857006,131411.07320614875,415318.8358757133,757.5002462055418
135,1,330.0,90.0,False,250852.52859480874,252624.43036301518,3351.8048647919977,46430.49484166906,251738.47947891196,885.950884103222
136,1,330.0,120.0,False,269836.6502687663,271860.1974767309,3143.0288493741336,74765.92607773305,270848.4238727486,1011.7736039823212
137,1,330.0,150.0,False,292771.35068895423,295035.99819058063,3188.1788177971785,66064.3962478207,293903.67443976743,1132.3237508132006
138,1,330.0,180.0,False,607473.4883953347,609225.6597248042,3431.267756454144,131035.53786316764,608349.5740600694,876.0856647347682
139,1,330.0,210.0,False,915549.7571690425,916669.1344226808,3440.5662547012844,91296.8778593555,916109.4457958617,559.6886268191738
140,1,330.0,240.0,False,989337.5125049378,990271.1228221485,3188.5373789142895,220450.1245660136,989804.3176635432,466.8051586053334
141,1,330.0,270.0,False,853878.8456601793,855555.8167612522,3395.692897386964,103814.33606547012,854717.3312107157,838.4855505364831
142,1,330.0,300.0,False,680047.6774144382,682281.6270818666,3597.8045874771187,138576.91169067693,681164.6522481524,1116.9748337141937
143,1,330.0,330.0,True,712427.5850451773,713981.0596289284,3052.639711201641,133109.51195141365,713204.3223370528,776.7372918755864
144,2,0.0,0.0,True,11.84668141240498,3432.7412287086354,3421.424345474212,0.03320310606838391,1722.2939550605201,1710.4472736481152
145,2,0.0,30.0,False,13.491453728355596,3276.2816660145213,3263.2611181076013,0.032094326115117894,1644.8865598714385,1631.395106143083
146,2,0.0,60.0,False,19.077758457928553,3299.440561812725,3281.044330383777,0.024772787313198888,1659.2591601353267,1640.181401677398
147,2,0.0,90.0,False,21.74740941173126,3119.5973541136686,3098.4630516600123,0.03062591707653884,1570.6723817626998,1548.9249723509686
148,2,0.0,120.0,False,25.26233136655402,3331.149180634322,3306.90415640271,0.02063474111576551,1678.205756000438,1652.943424633884
