trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_PCA_dir0,sw_Healthy_vs_PCA_dir1,sw_Healthy_vs_PCA_dir13,sw_Healthy_vs_PCA_dir0-1,sw_PCA_dir0_vs_PCA_dir1,sw_PCA_dir0_vs_PCA_dir13,sw_PCA_dir0_vs_PCA_dir0-1,sw_PCA_dir1_vs_PCA_dir13,sw_PCA_dir1_vs_PCA_dir0-1,sw_PCA_dir13_vs_PCA_dir0-1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
55,1,120.0,210.0,False,0.5122637969856749,0.44110211016653844,0.28136827441844153,0.7485299810817396,0.6431941940480574,0.2777789457489755,0.5555135065276225,0.4554896083721216,0.4739993810328278,0.49370158231890643,0.029912411550712427,0.49581604066309864,0.1681638509071352
56,1,120.0,240.0,False,0.4140302905068033,0.3089479533707493,0.33210345457384904,0.7177916908616191,0.28659346356632975,0.5316031017526072,0.39845989740762433,0.31399616748041226,0.43711330774884133,0.5205496504092495,0.06426780021933515,0.44321834732825516,0.16326169309227898
57,1,120.0,270.0,False,0.8460809024774296,0.8456147381940913,0.5757398401086091,0.9228629887401674,0.39440972410607655,1.1882349520464994,0.31564782828527493,1.138129143918204,0.3035821410228423,1.1788915937001474,0.07630191508295722,0.7975746173800744,0.1318792604116701
58,1,120.0,300.0,False,0.44806911940988164,0.8949940264185774,0.9083078520465295,0.7172354116949057,1.1024598022612917,0.6530749466005461,0.8813942340118321,1.4060176243654348,0.4889696148081817,1.3408961941400188,0.20662320342860935,0.7421516023924736,0.18579156953247392
59,1,120.0,330.0,False,0.518962750832572,0.5207180502107409,0.6961074628780022,0.794038924921366,0.5096404326906503,0.5710722957433064,0.8036063169292456,0.2667206593572051,0.9817836847253307,1.1648531936681226,0.043768786441275805,0.6324567972106703,0.11782045384800358
60,1,150.0,0.0,False,1.4262771304103445,0.4704415118323454,0.6001650524688074,1.4561857119044557,1.331718549263626,1.4300475138922346,0.1720949667327593,1.03181944682906,1.3273526897810992,1.4965511651862589,0.10439829667812783,0.9882673516539884,0.4554028856862602
61,1,150.0,30.0,False,1.7458565773130095,0.19309151238662822,0.19737128885362248,1.5555375638092148,1.752106986964085,1.77449123182335,0.5749499947699854,0.14982927568731613,1.5728157243030876,1.5807335127690303,0.01618821263910127,0.9229642355906187,0.7308385830794988
62,1,150.0,60.0,False,1.4630084992196548,0.4842354866446672,0.19121022514752087,1.502585503401152,1.686759098820326,1.5102007537502788,0.597364770564376,0.3633006592568757,1.6819211637616347,1.5919783746610146,0.04719963642785635,0.9102599286032487,0.5820029789580199
63,1,150.0,90.0,False,1.155700131979755,0.5570733425152384,0.1438024680305865,1.206989694608799,1.3971290094449165,1.1774433231582102,0.4480023791705293,0.4437918602574329,1.369078447473524,1.228894604687949,0.03848741240277147,0.7658914092835947,0.4407715319315126
64,1,150.0,120.0,False,1.1756833039087389,0.376336302123745,0.10033752689252062,1.1423277569795687,1.3387115977359296,1.2323067312547753,0.41280077167994617,0.33963406462121587,1.229409792373664,1.1957939023871869,0.03135582414037452,0.6986712224761433,0.47071080787187913
65,1,150.0,150.0,True,0.8450206744528235,0.27881669858861063,0.27577788325344,0.8280749960938903,0.9840231650662887,0.6531846212474224,0.33053590499707847,0.5072471636507156,0.8964262321839072,0.638264242240085,0.01721667907723616,0.5569225630971911,0.27969151156462635
66,1,150.0,180.0,False,0.517026205547874,0.14751003656750183,0.38198934810569884,0.5454021202704691,0.6106367076466591,0.18108872665727851,0.32785657384154493,0.4857418502552941,0.543420647450727,0.3161791546452906,0.01787492026860743,0.3979819276228859,0.15723881845413212
67,1,150.0,210.0,False,0.39000280274574345,0.21581692337785996,0.3434284779796227,0.5270160116994659,0.4796984681538671,0.19013880819074397,0.4512916230108872,0.4761423131580912,0.4473590122576432,0.3692644907906546,0.027304614146687833,0.369066053950673,0.11127569133232539
68,1,150.0,240.0,False,0.9496131233396775,0.3260471339709562,0.25667077305945507,0.5273436373296762,0.8265701333196209,0.729997729262596,0.48085693979584093,0.35272511261199946,0.3652834403672739,0.30709060772531105,0.04287927011329065,0.5149186669249413,0.2699435501052068
69,1,150.0,270.0,False,0.5420978344209122,0.7418639215144469,0.11776403755783041,0.774511755623669,0.5863147235538405,0.5886798691445158,0.616034967742211,0.7788065798059243,0.2495049968276689,0.8460043322280328,0.08299603331316174,0.5440593872792147,0.26170904680736506
70,1,150.0,300.0,False,0.5519311442876706,0.8978805121704297,0.214603498209627,0.9938315882011224,0.9926507138385297,0.37829877972355336,1.094821459173804,0.9301072938736208,0.40652291794909445,1.052666910479208,0.21392491916585837,0.6645616857172124,0.3074102929421416
71,1,150.0,330.0,False,0.7450182602886752,0.6165402871396616,0.45530684803078547,1.2947301979190504,0.45323008827963,1.0771356909066738,0.8568192724766865,0.9997347550421186,1.2183227293223189,1.1632196836474535,0.018391729287387665,0.7778988983445432,0.315554258771149
72,1,180.0,0.0,False,1.5490759445338853,0.27954990370584154,1.063790603325927,1.0144310095614097,1.4862066831682297,2.075992243045438,0.7046967812525367,1.154185713570254,0.9626141807226903,1.8788460919494492,0.05561157565176556,0.9767118652817659,0.45349776194350433
73,1,180.0,30.0,False,1.2575850488381812,0.523149376313863,0.26444194018879524,1.0541032332311784,1.4957845813235515,1.1690023211715619,0.8495413971653816,0.5409501633437636,1.1750709216519315,0.9757294172934297,0.09572673389777195,0.7748198996430045,0.39839838212114104
