trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Student_0,sw_self_reference
237,2,210.0,270.0,False,0.4606461906601905,0.03199588520148506
238,2,210.0,300.0,False,0.5197967546279081,0.03455015457914997
239,2,210.0,330.0,False,0.41015305320527085,0.08551519702105408
240,2,240.0,0.0,False,0.39368567383216024,0.02394307295065274
241,2,240.0,30.0,False,0.43307391591972716,0.0779255970845441
242,2,240.0,60.0,False,0.47364513999682634,0.06234833952022846
243,2,240.0,90.0,False,0.5219343326653765,0.10222761385428389
244,2,240.0,120.0,False,0.5735962448958711,0.059458796149259724
245,2,240.0,150.0,False,0.4882302863821418,0.0269986994354282
246,2,240.0,180.0,False,0.3020437293933871,0.034015775841071044
247,2,240.0,210.0,False,0.17432392702100238,0.01972109666157862
248,2,240.0,240.0,True,0.3324327492111644,0.04886869697642676
249,2,240.0,270.0,False,0.2285838871711695,0.031498770552186875
250,2,240.0,300.0,False,0.22866267754229408,0.022866298192829704
251,2,240.0,330.0,False,0.3158961959786577,0.06003107803518294
252,2,270.0,0.0,False,0.2997248776772745,0.05053581904117418
253,2,270.0,30.0,False,0.278220723468512,0.1308071128695431
254,2,270.0,60.0,False,0.6921629385552848,0.10445176347941938
255,2,270.0,90.0,False,0.3848510829213788,0.16519025881897104
256,2,270.0,120.0,False,0.5653705517956382,0.03655736129522814
257,2,270.0,150.0,False,0.6376021769716531,0.11955317324130273
258,2,270.0,180.0,False,0.44579517218930464,0.11670875329340058
259,2,270.0,210.0,False,0.223091360603948,0.021213002393798454
260,2,270.0,240.0,False,0.17370299759561436,0.031788787330869185
261,2,270.0,270.0,True,0.1704466439674338,0.028594916244970008
262,2,270.0,300.0,False,0.19005497913316152,0.05059946529628098
263,2,270.0,330.0,False,0.15354147802654783,0.0398181090276508
264,2,300.0,0.0,False,0.2185246495952079,0.04391835832291066
265,2,300.0,30.0,False,0.4481360856144768,0.04855007037894875
266,2,300.0,60.0,False,0.6005930563521804,0.08989494803172914
267,2,300.0,90.0,False,0.6467144164620293,0.026182811481085845
268,2,300.0,120.0,False,0.6710541582612313,0.07860388230659923
269,2,300.0,150.0,False,0.8534888295608474,0.1880284769115238
270,2,300.0,180.0,False,0.5871236039827457,0.03183304752075099
271,2,300.0,210.0,False,0.3272374803891011,0.08834822807743431
272,2,300.0,240.0,False,0.4107949681547821,0.026167208443422456
273,2,300.0,270.0,False,0.3154736844522562,0.033495005312728005
274,2,300.0,300.0,True,0.2932652984462709,0.020736167701513226
275,2,300.0,330.0,False,0.12938279436259387,0.059735729505130064
276,2,330.0,0.0,False,0.12293564498453005,0.04183008593231903
277,2,330.0,30.0,False,0.30855592229980333,0.023824588730609407
278,2,330.0,60.0,False,0.46276573967150536,0.03417206171642415
279,2,330.0,90.0,False,0.6202811307485828,0.08308473611259082
280,2,330.0,120.0,False,0.47941390940122885,0.11302146651564779
281,2,330.0,150.0,False,0.8772064536999575,0.110829514235605
282,2,330.0,180.0,False,0.5828743599863602,0.023997467597689087
283,2,330.0,210.0,False,0.5909348678453632,0.06790411902458071
284,2,330.0,240.0,False,0.6178260788435876,0.03758097706482229
285,2,330.0,270.0,False,0.52045701640356,0.054188669638826265
286,2,330.0,300.0,False,0.38313379744332376,0.06637827737457025
287,2,330.0,330.0,True,0.2567322889626675,0.016830636513517194
