trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Ablated_1_vs_Student_2,sw_Ablated_1_vs_Student_3,sw_Ablated_1_vs_Student_4,sw_Ablated_1_vs_Student_5,sw_Student_0_vs_Student_1,sw_Student_0_vs_Student_2,sw_Student_0_vs_Student_3,sw_Student_0_vs_Student_4,sw_Student_0_vs_Student_5,sw_Student_1_vs_Student_2,sw_Student_1_vs_Student_3,sw_Student_1_vs_Student_4,sw_Student_1_vs_Student_5,sw_Student_2_vs_Student_3,sw_Student_2_vs_Student_4,sw_Student_2_vs_Student_5,sw_Student_3_vs_Student_4,sw_Student_3_vs_Student_5,sw_Student_4_vs_Student_5,teacher_vs_students_mean,teacher_vs_students_std
124,1,300.0,120.0,False,1.1347450220712536,0.07615910619783132,0.05920961202693589,0.14201173394794084,0.13057939099156346,0.06323286540645426,1.1431578871725283,1.1100947365945526,1.133914179897474,1.119393374815787,1.1779869362976068,0.11015459830910733,0.17174091272575304,0.17407040759325293,0.08121853499074014,0.11987331411955454,0.10881972780459648,0.09949769803736548,0.03600153191549047,0.14909046213100569,0.14437031193262645,0.2676562884403299,0.3890864568612275
125,1,300.0,150.0,False,1.4099958669294685,0.08550251498399587,0.12900271106730427,0.47215344215905225,0.49998231823732797,0.12675435356798279,1.4299711701718723,1.471836135914931,1.2681716401272745,1.290509689981393,1.4437751100096854,0.14337027580148887,0.4708378493144222,0.5002944638849671,0.13802974092385878,0.4719915724241016,0.47665058459638576,0.11327193454212964,0.05237748729362972,0.3996412021560973,0.4198509640637265,0.45389853449085527,0.4591432790630939
126,1,300.0,180.0,False,1.1315577938105175,0.15260049345122126,0.15864385712807919,0.664028440709604,0.7174342151703985,0.1541825555933123,1.2237796488593107,1.226186846674152,1.3563841357218887,1.3957622960366471,1.2384572609077769,0.029117236220290194,0.7257635059182723,0.7708278931605597,0.1263382085926549,0.7444279872304096,0.7853766371934463,0.13494092051762807,0.06873943936131513,0.6763658444965,0.6865858762105315,0.4964078926438555,0.3718805661952848
127,1,300.0,210.0,False,0.8656256267215212,0.07284457880984227,0.05480404902956973,0.4947055041880172,0.49422020116066306,0.05993116648102368,0.8723147372549749,0.8946795560457431,1.0855576603245347,1.0881839465163394,0.903311987944788,0.0620414382860789,0.5000021915856553,0.4940866093638616,0.0564006967906995,0.5167159543833997,0.5110780886039665,0.033059061006202636,0.027340883752911802,0.4937504576747257,0.4883545736348777,0.3403551877317729,0.30417826654185476
128,1,300.0,240.0,False,0.630308240013366,0.0396161085403325,0.030496836273169958,0.33111662291887445,0.30449863678079103,0.031234137555606993,0.6558870043074112,0.6471557503819385,0.8224679154901607,0.8122806618712566,0.6508930297515136,0.035825322565865375,0.3148909441838254,0.2869838562794969,0.018299511933178313,0.3338467666779199,0.30815125235979707,0.02917710037577346,0.04292674982602099,0.32680543390600936,0.29886585446937375,0.22787843034702346,0.22043506433345336
129,1,300.0,270.0,False,0.5533294713134236,0.04657193096696585,0.07550605580598874,0.18167010022113855,0.187536484147376,0.06052448651999193,0.5644812981977718,0.5178757494847066,0.6796561852854828,0.6914070611879474,0.5679180688532516,0.09213162107550453,0.15309801724814215,0.15347870979679024,0.04345733257723866,0.23954185332172365,0.24102938477672797,0.06882132338743918,0.03559698205906238,0.17660622276550783,0.17649517275851523,0.18418975482914743,0.17432038989862858
130,1,300.0,300.0,True,0.4106739912480871,0.18181524935550414,0.0969559622263967,0.12207177046900425,0.293214538336252,0.12672636711030624,0.4729880394260685,0.36001891020546484,0.3820276848428563,0.5946151751684342,0.41084619838650865,0.1816838217653674,0.13462295527865706,0.14817814864768913,0.15361315936873923,0.058696891592028115,0.2982103842929662,0.0994509201666027,0.2541127213793232,0.08796879595245795,0.24799455900977188,0.20524297979092507,0.112025399526544
131,1,300.0,330.0,False,0.6476406650538616,0.37553783765739757,0.4739841028163341,0.34024728189928055,0.43274710891244367,0.36284024444239765,0.8765999099986677,1.0081692586083348,0.759173180006044,0.7848951290512792,0.8667398336953751,0.14295921572409886,0.23037597565415602,0.29882773109251803,0.1333243371443233,0.336258449255499,0.3929125099124397,0.21866310043680837,0.1052983036001478,0.14137635903706658,0.20089350561449792,0.43883287346361916,0.10358056395171515
132,1,330.0,0.0,False,1.0604181609544876,0.058943492078754,0.16009125502452026,0.3002068087017462,0.341385651839633,0.06668153148594344,1.0540664060414704,1.0494404013612182,0.811253809705429,0.8421520081121586,1.0120728558187757,0.14203506706535002,0.28687316097719673,0.330967768231553,0.058558428051624214,0.2549412239262113,0.25042876986864493,0.16826353065880795,0.11709529420298073,0.2667448899781443,0.31097972048753486,0.33128781668084745,0.3430731783704107
133,1,330.0,30.0,False,0.7424365487336353,0.0859661137760395,0.056224116068118814,0.5293723678839362,0.4415740366788208,0.12682679395223329,0.753977084244474,0.7784681359645866,0.9161272659912236,0.8891807981531661,0.7499156186016673,0.08422704625748234,0.5715783229679232,0.4845300088444051,0.07535827202895728,0.5419696352480787,0.4614425030534689,0.11509349340874821,0.10971149324420346,0.6406926062018508,0.5554175543974895,0.3303999961821307,0.2575804655475231
