trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_0,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Ablated_2,sw_Healthy_vs_Ablated_3,sw_Healthy_vs_Ablated_4,sw_Healthy_vs_Ablated_5,sw_Healthy_vs_Ablated_6,sw_Healthy_vs_Ablated_7,sw_Healthy_vs_Ablated_8,sw_Healthy_vs_Ablated_9,sw_Healthy_vs_Ablated_10,sw_Healthy_vs_Ablated_11,sw_Healthy_vs_Ablated_12,sw_Healthy_vs_Ablated_13,teacher_vs_students_mean,teacher_vs_students_std
59,1,120.0,330.0,False,2.29323733337152,1.2943218701951196,0.3699145695629476,0.3347053776772662,0.19099872728554745,0.9306154828458224,2.863030272949497,1.5361419893345007,1.718503614517676,0.3257043052559018,0.851988853375413,220873.07136800594,1.8066710712116663,0.300341091313545,15777.706253040347,56883.21964266339
60,1,150.0,0.0,False,2.2556254045153796,1.4286322740483532,0.6203368742663653,0.8345970949702924,1.1389352842146918,1.509519719009857,2.683995889758062,0.5764468556238307,1.5257541950753088,0.5827666311318684,0.6665901614156872,181677.0158904029,2.6699758787554275,0.16562305506129066,12978.11962069434,46788.65543818534
61,1,150.0,30.0,False,2.401673302764295,1.3935559428182303,0.9746856834945824,1.0512035722991673,1.4093504703500896,1.515544727789632,2.9118063249783424,0.7935692558157637,1.6440928472704202,0.5101319315897539,1.5288003719559267,88762.65917483816,2.960821028062278,1.5887272716852299,6341.667366969216,22859.470175134575
62,1,150.0,60.0,False,2.248846977422043,1.353375641117628,0.6785760387793298,0.7894557329084162,1.2683906061457217,1.6337064493801914,2.7407613693079558,0.447399461668327,1.8976391038706266,0.8201581395740865,1.7663191736560895,42981.19339972678,3.0615376675416472,1.4143811352402844,3071.5224248016707,11068.951185021171
63,1,150.0,90.0,False,2.208192727488365,1.4132740017392276,0.44985312601664057,0.3713860027144459,1.4108459235099586,1.3347749860736051,3.01324768371567,0.4192263037940547,1.6001375072876236,0.9213496593326187,1.7111433479396139,37363.772158204476,2.84941891756292,1.480227422789275,2670.21108827246,9622.262598474534
64,1,150.0,120.0,False,2.392849578547173,0.8489228402075955,0.3217296680140986,0.3668973420099409,1.3276354919664244,1.5931828108167885,2.84202339770012,0.3580209526366766,1.4799990142461286,0.8830059387575557,1.6982759665476423,58056.3288122035,2.903033155560007,1.4367483929111287,4148.198652625245,14951.42521114969
65,1,150.0,150.0,True,2.590742892040612,0.6857006766373388,0.2535565946569091,0.5218278718475982,1.3865678716590026,1.6233722391189511,2.7820583798404295,0.36107259342005393,1.2939041547579335,0.9525861935144244,1.2653295582943662,42692.1302718146,2.7781199594037584,1.0987414296982332,3050.6945608735355,10994.556113783547
66,1,150.0,180.0,False,2.6582421984136557,0.5781080885933049,0.3382649814066969,0.601399466641165,1.1585013461452762,1.4223372943613932,2.502981606000729,0.3845843917625906,0.8333416745581232,10.923530229220233,1.1309500616487633,58650.10357974653,2.4323696195206823,0.7594474599666028,4191.130545583198,15104.201737686075
67,1,150.0,210.0,False,2.4545771873861457,0.64253377578955,0.5129183732599545,0.717387848760118,1.3828882755912746,1.3438591730363245,2.4254826433401653,0.5056728333182018,0.8227540256027572,37.865738666635735,1.1695587090082864,68924.10287605868,2.3502419574826368,1.1236949620905008,4926.958584606427,17749.61674528971
68,1,150.0,240.0,False,2.5106126904222275,0.7295481132180663,1.7219261726489252,0.5001943128267605,1.0568304512895002,0.7031211033329046,2.4454090814202165,0.6206170726902731,0.9119642361260969,0.7838443898575701,1.4065677121505058,54006.98593162602,2.102268071140897,0.8755668965712845,3858.811028709265,13908.601244971165
69,1,150.0,270.0,False,2.242578357847326,0.8923966139696318,1.5197799031142352,0.9030171367493367,0.7222570302520426,0.816065616250262,2.51802155608895,0.6370001868456834,0.7659798908943655,0.7339355641169165,1.5802513093363117,452425.46904396033,1.9261013319316498,0.4115857988386176,32317.22414387547,116517.06294264282
70,1,150.0,300.0,False,1.9050681045454243,1.2873061089252502,0.6939751990543679,0.8609111305834436,0.5693806218843009,1.057582460861124,2.53230441147962,1.4148522511601378,0.9938746601598605,0.30539429503906557,1.387191825302827,777156.6757305136,2.084537610125208,0.3341338453479761,55512.29301735987,200148.1403488958
71,1,150.0,330.0,False,1.9612479314008606,1.3138105804760012,0.7698294285077958,0.9475252888458894,0.4678926353431705,1.3533662530489319,2.306026157742605,1.7074452451308824,1.1758226281055069,0.12441250958741415,0.9543013055722359,431030.0818724823,2.20549556566327,0.04298087857948229,30788.95800206359,111006.91497623682
