trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
105,1,240.0,270.0,False,0.6442318831138214,0.2209317803266907,0.7407371661275288,0.6921445085330494,0.13302436863369704,0.7668111846986483,0.5353002765226803,0.22575647788828399
106,1,240.0,300.0,False,0.849704616990063,0.22844077785692146,0.8767249665868743,0.7472097041054997,0.08234706023144267,0.7890310901368335,0.6516234538112863,0.2994385944218571
107,1,240.0,330.0,False,1.1770708914522412,0.1096561058650273,1.1309085125349359,1.0836174814914918,0.08875027353031983,1.0378445663483449,0.8058785032840682,0.49266415965155813
108,1,270.0,0.0,False,2.1272504484083807,0.9699095319553314,2.1058490953975904,1.3364478919724987,0.06310960968312597,1.3237952986454147,1.734336358587101,0.5406020005101788
109,1,270.0,30.0,False,1.6459847192971409,0.5149960709065355,1.7502503670405387,1.2027934980298265,0.23204138221055637,1.3134856110697068,1.303743719081405,0.5593507967283013
110,1,270.0,60.0,False,1.1714417212162775,0.1737233163062088,1.1928708257124794,1.082651911466903,0.12152566361534889,1.1027667187126013,0.8460119544116553,0.4754603462779584
111,1,270.0,90.0,False,1.497027526105501,0.27451033987252405,1.462697149081721,1.71543331739823,0.18364164317604081,1.6860101864459565,1.0780783383532488,0.5683812041423063
112,1,270.0,120.0,False,1.4430250564281841,0.3016309800152832,1.4690586294256156,1.2285130228843433,0.12110227198405422,1.2402059630503461,1.071238221956361,0.5442982741517545
113,1,270.0,150.0,False,1.331805327242255,0.4481575665757567,1.3243957132562545,1.1000755902426262,0.07132245605915243,1.083067126677527,1.0347862023580887,0.41482011590144735
114,1,270.0,180.0,False,1.0555831273902467,0.5842862783520645,1.0059344698715482,1.0373937990251887,0.09509788971527164,1.011960554412708,0.8819346252046198,0.21144290180628997
