trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
113,1,270.0,150.0,False,1.0064711805456152,0.06708215619430553,0.9827281163764073,0.5367766683699604,0.4696945121756549
114,1,270.0,180.0,False,1.0816347917561902,0.19703597689322347,0.9705270191803343,0.6393353843247068,0.4422994074314833
115,1,270.0,210.0,False,0.9480561241196088,0.08219427050940413,0.9583215467284957,0.5151251973145065,0.4329309268051023
116,1,270.0,240.0,False,0.640510658971036,0.0371171562177901,0.6493526469379407,0.33881390759441304,0.30169675137662294
117,1,270.0,270.0,True,0.6587773736140619,0.09566547052803616,0.6413904148197564,0.37722142207104903,0.2815559515430129
118,1,270.0,300.0,False,0.4982984020130681,0.11462106783764309,0.510238849067691,0.3064597349253556,0.1918386670877125
119,1,270.0,330.0,False,1.1137798011116535,0.12324975152451656,1.0619604814885342,0.618514776318085,0.4952650247935685
120,1,300.0,0.0,False,1.140032060474036,0.20778870647330477,1.2559981067105221,0.6739103834736704,0.46612167700036555
121,1,300.0,30.0,False,0.7691657713880776,0.4748132218960474,0.8907885626480441,0.6219894966420625,0.1471762747460151
122,1,300.0,60.0,False,0.8314865129488959,0.3444180940029632,0.8787382459390882,0.5879523034759295,0.24353420947296633
123,1,300.0,90.0,False,1.0593197895549165,0.09618502811153717,1.0819760211543932,0.5777524088332269,0.48156738072168964
124,1,300.0,120.0,False,1.2063761439208491,0.09425280401131761,1.1647788465609872,0.6503144739660833,0.5560616699547657
125,1,300.0,150.0,False,1.3681828523215276,0.08886118088870107,1.4101580860308793,0.7285220166051143,0.6396608357164133
126,1,300.0,180.0,False,1.1385525275925472,0.10304435167850838,1.1973406837617824,0.6207984396355278,0.5177540879570194
127,1,300.0,210.0,False,0.831111614226909,0.06429610573518854,0.8294563972040618,0.4477038599810488,0.38340775424586027
128,1,300.0,240.0,False,0.6320637467538226,0.036736098490588266,0.6503611993173064,0.3343999226222054,0.2976638241316172
129,1,300.0,270.0,False,0.5759172285385717,0.04994186595840996,0.5691824081848245,0.31292954724849087,0.2629876812900809
130,1,300.0,300.0,True,0.4332638066932119,0.19713876264086866,0.5134303451247171,0.3152012846670403,0.11806252202617162
131,1,300.0,330.0,False,0.6037543648915709,0.3708659893750572,0.7956889424267393,0.48731017713331404,0.11644418775825682
132,1,330.0,0.0,False,1.1121067418224904,0.0779632205501237,1.1117310107899054,0.595034981186307,0.5170717606361833
133,1,330.0,30.0,False,0.7793495081962445,0.06425169543128585,0.7873537076952033,0.42180060181376516,0.3575489063824793
134,1,330.0,60.0,False,0.6437068677608109,0.04899239515520702,0.6542829482601393,0.34634963145800896,0.2973572363028019
135,1,330.0,90.0,False,0.661277557889933,0.024021687629055696,0.6719699471523768,0.34264962275949434,0.31862793513043863
136,1,330.0,120.0,False,1.2235983125529166,0.06216241521574046,1.2585775450774204,0.6428803638843286,0.5807179486685881
137,1,330.0,150.0,False,1.2757144462430803,0.049122119906311726,1.2583618153532568,0.662418283074696,0.6132961631683842
138,1,330.0,180.0,False,1.1448768130535854,0.12530903156695083,1.1250686245578567,0.6350929223102681,0.5097838907433172
139,1,330.0,210.0,False,0.9473786683425531,0.052955077565947854,0.9386966190549385,0.5001668729542504,0.44721179538830264
140,1,330.0,240.0,False,0.566278570506791,0.09814128903212074,0.5542173915630122,0.33220992976945585,0.2340686407373351
141,1,330.0,270.0,False,0.339880170952074,0.06028252819672992,0.3078451106348933,0.20008134957440196,0.13979882137767205
142,1,330.0,300.0,False,0.5290218635439863,0.18440085382170318,0.380353389692025,0.35671135868284476,0.17231050486114155
143,1,330.0,330.0,True,0.9163322656297359,0.0984725721247666,0.936377588468718,0.5074024188772512,0.40892984675248467
144,2,0.0,0.0,True,0.5910202060040178,0.0770028844935703,0.5318703080531396,0.33401154524879406,0.2570086607552238
145,2,0.0,30.0,False,0.6322134349635031,0.24276976158489078,0.4461178136369227,0.4374915982741969,0.19472183668930618
146,2,0.0,60.0,False,0.41974234207889183,0.13651566417835687,0.3100112751555515,0.2781290031286243,0.14161333895026748
147,2,0.0,90.0,False,0.4924988089438754,0.03721145088134475,0.508375553901259,0.26485512991261007,0.2276436790312653
148,2,0.0,120.0,False,1.1181745643474978,0.1614890942325306,1.1280170091504522,0.6398318292900143,0.47834273505748365
149,2,0.0,150.0,False,1.3265762441816296,0.12626834414763746,1.3384104913969086,0.7264222941646336,0.600153950016996
150,2,0.0,180.0,False,1.5959485668502453,0.13445419049554475,1.5664003911531146,0.865201378672895,0.7307471881773503
151,2,0.0,210.0,False,1.8154552751227577,0.1629882537227899,1.7466620756159739,0.9892217644227739,0.826233510699984
152,2,0.0,240.0,False,1.4310399605916784,0.157178524316173,1.5490445702948556,0.7941092424539257,0.6369307181377527
153,2,0.0,270.0,False,1.157200361373603,0.11660189811460558,1.1860187586831117,0.6369011297441043,0.5202992316294988
154,2,0.0,300.0,False,1.180960646024286,0.1082374507581086,1.103360549571341,0.6445990483911973,0.5363615976330888
155,2,0.0,330.0,False,0.8169286007192179,0.051837760415277594,0.775006580054301,0.43438318056724773,0.38254542015197013
156,2,30.0,0.0,False,0.5465664885506689,0.12618949287593945,0.4371395951149267,0.3363779907133042,0.21018849783736474
157,2,30.0,30.0,True,0.594069724712218,0.2619466219408087,0.3547360401840677,0.4280081733265133,0.16606155138570464
158,2,30.0,60.0,False,0.4569660876067627,0.25121051099750363,0.25211169189990157,0.35408829930213315,0.10287778830462954
159,2,30.0,90.0,False,0.5690351510513867,0.05897831451159946,0.5699586376607202,0.31400673278149305,0.2550284182698936
160,2,30.0,120.0,False,1.193308579089659,0.09030504479678152,1.2058238092802656,0.6418068119432202,0.5515017671464387
161,2,30.0,150.0,False,1.499837644395564,0.10781719912018708,1.5364543874646435,0.8038274217578756,0.6960102226376885
162,2,30.0,180.0,False,1.585605225925912,0.13526502943574054,1.5948104675694124,0.8604351276808262,0.7251700982450857
163,2,30.0,210.0,False,1.4814904926842103,0.3094941314859504,1.3996138808226053,0.8954923120850804,0.5859981805991299
164,2,30.0,240.0,False,1.2102196668494363,0.18000299266210618,1.1126176123406304,0.6951113297557712,0.5151083370936651
165,2,30.0,270.0,False,1.1545647173118145,0.08780595157710884,1.2053232831317922,0.6211853344444617,0.5333793828673529
166,2,30.0,300.0,False,0.7011977647356827,0.2915831058433016,0.7196306432403852,0.49639043528949217,0.20480732944619057
167,2,30.0,330.0,False,0.6170766789119668,0.0871821446384294,0.5568323536512942,0.35212941177519813,0.26494726713676875
168,2,60.0,0.0,False,0.36942762412374663,0.04767656636424679,0.34986890254859254,0.2085520952439967,0.16087552887974993
169,2,60.0,30.0,False,0.3070642847067101,0.12282243203529994,0.2393832065616281,0.21494335837100503,0.09212092633570508
170,2,60.0,60.0,True,0.31699003775339707,0.10996637790720296,0.2942012262282924,0.21347820783030003,0.10351182992309706
171,2,60.0,90.0,False,0.6024257361114951,0.10598856963525377,0.6413556791836182,0.35420715287337445,0.24821858323812065
172,2,60.0,120.0,False,1.1863258803956978,0.05489664498948937,1.1832181998898448,0.6206112626925936,0.5657146177031042
173,2,60.0,150.0,False,1.638272653845574,0.23009341491949886,1.699455092715119,0.9341830343825365,0.7040896194630376
174,2,60.0,180.0,False,1.3940837227489298,0.2888387351552039,1.390401868886844,0.8414612289520669,0.5526224937968629
175,2,60.0,210.0,False,0.9901271296022464,0.13096309164709102,0.9434484553158939,0.5605451106246687,0.42958201897757764
176,2,60.0,240.0,False,0.6424540133223909,0.12785634860016645,0.6895543045239836,0.3851551809612787,0.25729883236111223
177,2,60.0,270.0,False,0.7371842146964199,0.05933113607705462,0.7228956026529808,0.3982576753867373,0.33892653930968264
178,2,60.0,300.0,False,0.7561623126722248,0.12173204028468762,0.7533088708402106,0.4389471764784562,0.3172151361937686
179,2,60.0,330.0,False,0.5796325877064189,0.04711894799438303,0.612608193294458,0.31337576785040094,0.2662568198560179
180,2,90.0,0.0,False,0.6010228341903306,0.03141763863160858,0.6061448583980522,0.31622023641096964,0.284802597779361
181,2,90.0,30.0,False,0.5242251814520165,0.04144980826957593,0.5427391151605159,0.2828374948607962,0.24138768659122026
182,2,90.0,60.0,False,0.5425603222991634,0.05507310649118635,0.5647971411580344,0.2988167143951749,0.24374360790398852
183,2,90.0,90.0,True,0.7089512773087041,0.2349674336728781,0.746342735742278,0.4719593554907911,0.236991921817913
184,2,90.0,120.0,False,1.2859435685606815,0.35751294565559455,1.19671665034419,0.821728257108138,0.46421531145254347
185,2,90.0,150.0,False,1.2107864080036408,0.07488878034561973,1.265142713209102,0.6428375941746303,0.5679488138290105
186,2,90.0,180.0,False,1.0214955176401816,0.12238136025688014,1.0549195333572727,0.5719384389485309,0.44955707869165074
187,2,90.0,210.0,False,1.0894741582327758,0.11956597733228591,1.1109297563363922,0.6045200677825309,0.48495409045024496
188,2,90.0,240.0,False,1.2042896713053088,0.1834237840588296,1.2940603063712173,0.6938567276820692,0.5104329436232395
189,2,90.0,270.0,False,1.1923938523711546,0.22965171116569208,1.2860029594407165,0.7110227817684234,0.48137107060273127
190,2,90.0,300.0,False,0.9970188049850818,0.06315850365928775,1.0142992823625887,0.5300886543221848,0.466930150662897
191,2,90.0,330.0,False,0.7540409067871409,0.030855938524748196,0.7631151482325629,0.39244842265594454,0.3615924841311963
192,2,120.0,0.0,False,0.9859181401317636,0.04082164751587497,1.006813030831552,0.5133698938238193,0.47254824630794434
193,2,120.0,30.0,False,0.9335859404651101,0.09502113243665544,0.9308553191403417,0.5143035364508828,0.41928240401422734
194,2,120.0,60.0,False,0.7510605188867523,0.04363340902402853,0.7600637380228699,0.39734696395539043,0.35371355493136186
195,2,120.0,90.0,False,0.6768764710120582,0.1137994830330552,0.742374465316785,0.3953379770225567,0.2815384939895015
196,2,120.0,120.0,True,0.7419959134199499,0.27562215998646444,0.9046043246298552,0.5088090367032072,0.2331868767167427
197,2,120.0,150.0,False,1.384220635018434,0.13823168971837396,1.4116406856546746,0.761226162368404,0.62299447265003
198,2,120.0,180.0,False,1.2386414473105996,0.09283432300144456,1.2218775138591598,0.6657378851560221,0.5729035621545775
199,2,120.0,210.0,False,1.2892908613252825,0.0715919472298705,1.3265232709413772,0.6804414042775765,0.608849457047706
200,2,120.0,240.0,False,1.394874365941087,0.07686255016645785,1.4224177516837946,0.7358684580537724,0.6590059078873146
201,2,120.0,270.0,False,1.0550789868464516,0.04795019492796405,1.051682002680164,0.5515145908872079,0.5035643959592437
202,2,120.0,300.0,False,1.221968707410677,0.10046006730502594,1.2176911482109087,0.6612143873578515,0.5607543200528256
203,2,120.0,330.0,False,1.131385926593067,0.06314250901067368,1.160832601945556,0.5972642178018703,0.5341217087911967
204,2,150.0,0.0,False,1.1706343647531114,0.047305975543604294,1.1782851331423654,0.6089701701483579,0.5616641946047536
205,2,150.0,30.0,False,0.9562604590275638,0.05643638084367394,0.9739207155952212,0.5063484199356189,0.44991203909194494
206,2,150.0,60.0,False,1.128011632531309,0.2581986501839835,1.1367167401104492,0.6931051413576462,0.4349064911736627
207,2,150.0,90.0,False,0.9589490683993912,0.04967609852060674,0.9497777120148032,0.504312583459999,0.45463648493939224
208,2,150.0,120.0,False,1.4880628791588433,0.43311984219050725,1.1921669697613448,0.9605913606746752,0.5274715184841681
209,2,150.0,150.0,True,0.8197286726841084,0.17039513795128278,0.8707803133682951,0.4950619053176956,0.32466676736641287
210,2,150.0,180.0,False,0.6389028327143587,0.0971715920123116,0.6610028584438903,0.36803721236333514,0.2708656203510235
211,2,150.0,210.0,False,0.6566360133322439,0.060189668702186006,0.657276091471643,0.35841284101721493,0.29822317231502893
212,2,150.0,240.0,False,0.7782070081756083,0.06853332603494484,0.782449374251805,0.4233701671052766,0.35483684107033175
213,2,150.0,270.0,False,1.025282875531702,0.06256626217912553,1.029595990664601,0.5439245688554137,0.48135830667628826
214,2,150.0,300.0,False,1.4245573697397385,0.037916634842080944,1.4192996454914513,0.7312370022909097,0.6933203674488287
215,2,150.0,330.0,False,1.3329584253461886,0.09136951509917901,1.356166626723061,0.7121639702226839,0.6207944551235048
216,2,180.0,0.0,False,1.2232490898819917,0.06796556525561766,1.2472840528099058,0.6456073275688047,0.577641762313187
217,2,180.0,30.0,False,1.3352648830989517,0.18296217117889818,1.2637775220203278,0.759113527138925,0.5761513559600268
218,2,180.0,60.0,False,1.1889995147730335,0.08511407172936433,1.2297585884063889,0.6370567932511989,0.5519427215218345
219,2,180.0,90.0,False,1.1725869607495383,0.15380194563768113,1.2453614905912085,0.6631944531936097,0.5093925075559286
220,2,180.0,120.0,False,1.1617009698972893,0.0785521298563232,1.1460229558970312,0.6201265498768063,0.5415744200204831
221,2,180.0,150.0,False,0.5306866060726376,0.14414092343388551,0.4859914423488519,0.33741376475326157,0.19327284131937605
222,2,180.0,180.0,True,0.4045037891770247,0.1115988898687423,0.39321409317685446,0.2580513395228835,0.1464524496541412
223,2,180.0,210.0,False,0.378885517243304,0.08125066619179672,0.38705695503493254,0.23006809171755035,0.14881742552575364
224,2,180.0,240.0,False,0.5149522131858222,0.058090716001714005,0.4923648656518249,0.2865214645937681,0.2284307485920541
225,2,180.0,270.0,False,1.3661626581243265,0.10562909867016389,1.314076595098216,0.7358958783972451,0.6302667797270812
226,2,180.0,300.0,False,1.3105280151307253,0.11565487536853457,1.2612619787146917,0.7130914452496299,0.5974365698810953
227,2,180.0,330.0,False,1.2340532941368771,0.07484928907794945,1.2233199080786168,0.6544512916074133,0.5796020025294639
228,2,210.0,0.0,False,1.2861987568699011,0.09125182441562316,1.299946387030339,0.6887252906427621,0.597473466227139
229,2,210.0,30.0,False,1.2702000211193685,0.16325183096719142,1.1991971260743566,0.7167259260432799,0.5534740950760886
230,2,210.0,60.0,False,0.9709415378170977,0.1443431099007494,0.901118011444852,0.5576423238589235,0.41329921395817415
231,2,210.0,90.0,False,1.3730812762428668,0.15616036400061165,1.4183128717506301,0.7646208201217393,0.6084604561211276
232,2,210.0,120.0,False,0.8307159158459152,0.06487180867695774,0.8203224643278585,0.44779386226143647,0.3829220535844787
