trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Multi_dir0-1,sw_Healthy_vs_Multi_dir0-1-2,sw_Healthy_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1_vs_Multi_dir0-1-2,sw_Multi_dir0-1_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1-2_vs_Multi_dir0-1-2-3,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
22,1,30.0,300.0,False,0.6323837131914382,0.6330480043287348,0.6300329347620917,0.15945794418402526,0.16599767655130143,0.05335614816861453,0.0461868874115059,0.6318215507607549,0.0012934916754733222
23,1,30.0,330.0,False,0.7469339362121162,0.4170854922661884,0.487959132798326,0.756625198459893,0.8441927232985417,0.12612177846004977,0.05992613541865608,0.5506595204255434,0.14177094895132777
24,1,60.0,0.0,False,5.4799853075443306,2.1146598415691895,0.9187926929871983,4.266228749552478,5.017071298755807,1.3584005917717803,0.024479886206457087,2.8378126140335724,1.931032878369298
25,1,60.0,30.0,False,9.493797395499058,2.520782640949486,0.897464178342495,7.73965655594659,9.058233646932905,1.7768840435988984,0.02573114693916424,4.30401473826368,3.729090481584485
26,1,60.0,60.0,True,10.464562210435307,6.166482695058506,1.2275978011470066,4.351411207659809,9.555925438609663,5.216358021151782,0.022187702465397044,5.952880902213606,3.773998513428837
27,1,60.0,90.0,False,5.294740438117715,3.7784150683758475,1.5882951424646716,1.8486126717413338,3.8989217458292185,2.265016883475882,0.027286739674411732,3.5538168829860783,1.5214614555480153
28,1,60.0,120.0,False,1.1276372303897257,1.265454152095743,1.3810964311184848,0.20874772311821366,0.31444827234856154,0.25511103059729134,0.04368867493547518,1.2580626045346512,0.1036062026458077
29,1,60.0,150.0,False,1.155325809896775,1.328865497754359,1.2763734991177442,0.1972211641202977,0.3862826978321352,0.2803479178267374,0.037558925608921344,1.2535216022562927,0.07266664850788035
30,1,60.0,180.0,False,1.4209693314837026,1.5635042924323175,1.3773605847251362,0.2231407590642565,0.22817545021216684,0.24440090920594537,0.022950712698756946,1.4539447362137186,0.07948963440841585
31,1,60.0,210.0,False,1.524577183257447,1.6491244230902122,1.4633663119648352,0.2017849503131116,0.13858837561380544,0.2143333785994183,0.08737817943340445,1.5456893061041648,0.07729083714791447
32,1,60.0,240.0,False,1.4452248496902285,1.5401447235699384,1.3355973585073735,0.18855614322594155,0.17945874143739898,0.2249467617470513,0.15892251255253853,1.44032231058918,0.08357803661145084
33,1,60.0,270.0,False,1.0510884350340275,1.2244940353669136,1.127481488311278,0.1881924970797208,0.16234613559532832,0.10708040057939884,0.03893337791702751,1.1343546529040731,0.07095917065628607
34,1,60.0,300.0,False,0.8426663924886943,1.0168286116789202,1.0251474332875135,0.22024888123730568,0.2620446152306555,0.2157547533899341,0.02399087165615691,0.9615474791517094,0.08413019780028794
35,1,60.0,330.0,False,1.2426422409397677,1.2519399141722845,0.8090330987457022,0.2774850843839932,0.7608083877156041,0.7663917543040057,0.057660269104672916,1.1012050846192516,0.20663165888258714
36,1,90.0,0.0,False,2.0387884306532555,1.9024647698731965,1.2593473762944245,0.8261517370646461,1.4001724499396757,1.0158590300962875,0.10376746360671092,1.733533525606959,0.3398876415052539
37,1,90.0,30.0,False,4.540637658089032,2.521596003290178,1.5910185808820534,2.548074197462981,3.2852600168982287,1.0882506419677658,0.031523546017336194,2.8844174140870877,1.2312033970213405
38,1,90.0,60.0,False,5.249001737939264,2.5301866726417392,1.6675377674704683,3.5117789860201403,3.9809710247460046,0.9942828154873868,0.014568596076038356,3.1489087260171575,1.5261790583985329
39,1,90.0,90.0,True,1.656109498408246,2.257428008342227,1.8945318429596687,0.8092618839124682,0.44099000989403403,0.44765690764047295,0.027550459153715835,1.9360231165700472,0.24723421006091129
40,1,90.0,120.0,False,1.4894046633618254,1.7801094335061527,1.9759751059322208,0.31623942647376735,0.7618013145949749,0.4966798146478031,0.07408538094368647,1.7484964009333996,0.1998953672418349
41,1,90.0,150.0,False,1.7408399024432248,1.8934686665990923,1.8672060301646143,0.18312154713430653,0.6892411489933705,0.573146375574615,0.05653585636266226,1.8338381997356439,0.0666280421073552
42,1,90.0,180.0,False,1.772772614371219,1.8968537743869902,1.7406922932363984,0.18376519457578014,0.4842283623893193,0.414255121494324,0.028318623650594232,1.8034395606648692,0.06733967748175354
43,1,90.0,210.0,False,1.8979607423368592,1.9976566609350197,1.836602948502821,0.18840779762899013,0.20793258566049116,0.1931490969534368,0.07482644571066266,1.9107401172582332,0.0663679585823567
44,1,90.0,240.0,False,1.772110120369848,1.8880243913387855,1.7575523046767905,0.1837434864213418,0.11384456529429601,0.1415821971217865,0.025332771890242838,1.805895605461808,0.0583771393706936
45,1,90.0,270.0,False,1.4192939868370502,1.532041987483738,1.3787546267242647,0.23048469913812047,0.3588719238913164,0.24093096809481723,0.018530522530106612,1.4433635336816844,0.06485245333900001
46,1,90.0,300.0,False,1.6272769643391691,1.4288414767480426,1.2802605798076663,0.6140222317767448,0.9018930627886276,0.3056422051049308,0.0526236094886005,1.4454596736316259,0.14215535195476608
